iter	Passed	Remaining
0	187	187318
1	218	109280
2	249	82887
3	278	69349
4	287	57129
5	315	52335
6	345	49079
7	374	46486
8	403	44462
9	432	42826
10	461	41486
11	489	40277
12	518	39397
13	550	38742
14	585	38437
15	616	37885
16	645	37340
17	674	36801
18	704	36378
19	737	36160
20	767	35768
21	795	35381
22	813	34575
23	841	34222
24	871	33980
25	899	33709
26	928	33464
27	956	33214
28	987	33049
29	1015	32846
30	1044	32660
31	1073	32467
32	1103	32349
33	1132	32173
34	1161	32015
35	1190	31889
36	1220	31765
37	1251	31686
38	1282	31611
39	1312	31490
40	1342	31410
41	1371	31286
42	1400	31167
43	1433	31135
44	1462	31040
45	1492	30954
46	1521	30855
47	1550	30760
48	1579	30652
49	1610	30596
50	1639	30498
51	1668	30412
52	1698	30355
53	1729	30299
54	1761	30267
55	1791	30200
56	1824	30179
57	1855	30134
58	1887	30096
59	1917	30035
60	1946	29962
61	1977	29919
62	2006	29842
63	2036	29785
64	2066	29726
65	2095	29649
66	2124	29584
67	2153	29515
68	2180	29419
69	2207	29330
70	2234	29238
71	2262	29160
72	2291	29093
73	2316	28993
74	2342	28887
75	2372	28839
76	2399	28757
77	2423	28646
78	2451	28574
79	2482	28547
80	2514	28530
81	2545	28497
82	2579	28503
83	2611	28481
84	2642	28447
85	2672	28405
86	2707	28410
87	2741	28409
88	2775	28406
89	2811	28425
90	2844	28416
91	2878	28408
92	2910	28383
93	2941	28348
94	2972	28315
95	3004	28291
96	3038	28283
97	3073	28289
98	3103	28249
99	3133	28197
100	3169	28207
101	3201	28186
102	3235	28173
103	3265	28132
104	3297	28104
105	3325	28044
106	3353	27986
107	3381	27926
108	3408	27861
109	3437	27812
110	3464	27745
111	3491	27681
112	3517	27614
113	3548	27577
114	3573	27501
115	3600	27436
116	3626	27371
117	3653	27306
118	3679	27242
119	3707	27189
120	3736	27144
121	3762	27076
122	3788	27011
123	3812	26933
124	3835	26847
125	3858	26764
126	3881	26681
127	3904	26600
128	3927	26520
129	3950	26437
130	3974	26368
131	3997	26288
132	4021	26215
133	4045	26142
134	4084	26173
135	4121	26183
136	4148	26133
137	4178	26102
138	4202	26033
139	4225	25958
140	4248	25881
141	4271	25811
142	4294	25735
143	4316	25656
144	4338	25582
145	4360	25505
146	4381	25426
147	4403	25351
148	4425	25277
149	4447	25204
150	4470	25132
151	4492	25065
152	4515	24997
153	4537	24925
154	4559	24856
155	4581	24785
156	4602	24713
157	4625	24648
158	4647	24581
159	4669	24516
160	4691	24450
161	4714	24388
162	4737	24326
163	4760	24267
164	4783	24207
165	4805	24140
166	4827	24079
167	4848	24013
168	4871	23954
169	4893	23891
170	4917	23840
171	4942	23792
172	4966	23743
173	4990	23689
174	5012	23632
175	5036	23578
176	5058	23518
177	5079	23458
178	5101	23399
179	5124	23343
180	5146	23286
181	5169	23233
182	5191	23177
183	5214	23127
184	5238	23078
185	5262	23028
186	5284	22975
187	5306	22921
188	5329	22870
189	5352	22817
190	5374	22762
191	5395	22707
192	5418	22658
193	5441	22606
194	5464	22556
195	5486	22505
196	5509	22456
197	5532	22409
198	5555	22363
199	5578	22315
200	5601	22265
201	5624	22217
202	5647	22171
203	5669	22122
204	5691	22072
205	5713	22022
206	5737	21978
207	5759	21931
208	5781	21881
209	5803	21830
210	5825	21783
211	5848	21737
212	5870	21691
213	5893	21645
214	5916	21602
215	5938	21555
216	5960	21507
217	5983	21463
218	6005	21415
219	6027	21371
220	6050	21327
221	6072	21282
222	6095	21238
223	6119	21199
224	6141	21153
225	6163	21108
226	6185	21064
227	6207	21019
228	6229	20972
229	6252	20931
230	6275	20892
231	6300	20857
232	6325	20821
233	6353	20796
234	6379	20765
235	6405	20735
236	6430	20703
237	6455	20669
238	6480	20635
239	6506	20605
240	6531	20570
241	6555	20534
242	6581	20501
243	6606	20468
244	6632	20438
245	6655	20399
246	6678	20359
247	6700	20318
248	6723	20279
249	6746	20238
250	6769	20201
251	6793	20163
252	6817	20128
253	6840	20091
254	6863	20053
255	6886	20012
256	6910	19978
257	6934	19943
258	6963	19922
259	6987	19887
260	7013	19858
261	7040	19832
262	7067	19803
263	7093	19775
264	7119	19746
265	7146	19719
266	7170	19686
267	7194	19651
268	7219	19619
269	7244	19586
270	7268	19552
271	7291	19515
272	7315	19481
273	7339	19447
274	7366	19419
275	7389	19384
276	7414	19353
277	7438	19317
278	7462	19285
279	7486	19249
280	7511	19220
281	7535	19186
282	7559	19152
283	7583	19118
284	7607	19086
285	7633	19056
286	7668	19051
287	7704	19046
288	7735	19029
289	7767	19017
290	7796	18995
291	7825	18973
292	7856	18956
293	7884	18934
294	7911	18906
295	7937	18879
296	7963	18848
297	7988	18819
298	8015	18791
299	8044	18769
300	8071	18743
301	8100	18722
302	8126	18694
303	8154	18668
304	8180	18641
305	8207	18613
306	8233	18585
307	8261	18561
308	8286	18530
309	8313	18503
310	8337	18471
311	8362	18441
312	8399	18436
313	8431	18421
314	8462	18403
315	8489	18376
316	8515	18346
317	8538	18313
318	8561	18276
319	8586	18246
320	8609	18211
321	8633	18178
322	8658	18147
323	8685	18120
324	8707	18085
325	8731	18052
326	8758	18024
327	8781	17990
328	8804	17957
329	8828	17924
330	8852	17893
331	8876	17859
332	8900	17827
333	8925	17796
334	8950	17767
335	8974	17735
336	8997	17700
337	9020	17666
338	9043	17632
339	9066	17599
340	9089	17566
341	9112	17532
342	9136	17499
343	9158	17464
344	9182	17432
345	9205	17399
346	9228	17366
347	9251	17333
348	9277	17304
349	9301	17274
350	9326	17244
351	9348	17209
352	9371	17176
353	9393	17142
354	9416	17108
355	9439	17076
356	9463	17044
357	9486	17011
358	9509	16979
359	9532	16946
360	9556	16914
361	9580	16885
362	9605	16855
363	9629	16824
364	9652	16792
365	9676	16762
366	9704	16737
367	9728	16707
368	9752	16676
369	9776	16645
370	9801	16618
371	9826	16588
372	9850	16558
373	9873	16526
374	9896	16493
375	9920	16463
376	9942	16430
377	9965	16398
378	9988	16366
379	10012	16335
380	10035	16304
381	10058	16272
382	10081	16241
383	10103	16207
384	10126	16176
385	10150	16145
386	10172	16113
387	10196	16082
388	10224	16059
389	10247	16028
390	10271	15998
391	10295	15968
392	10318	15936
393	10340	15904
394	10364	15874
395	10386	15842
396	10409	15811
397	10433	15780
398	10456	15749
399	10479	15718
400	10502	15688
401	10525	15657
402	10549	15628
403	10573	15597
404	10598	15570
405	10624	15544
406	10652	15520
407	10682	15500
408	10708	15474
409	10735	15448
410	10762	15423
411	10788	15396
412	10813	15368
413	10839	15343
414	10869	15321
415	10899	15301
416	10930	15281
417	10959	15259
418	10987	15236
419	11015	15212
420	11043	15187
421	11070	15162
422	11096	15136
423	11124	15112
424	11151	15087
425	11178	15062
426	11208	15041
427	11235	15015
428	11263	14991
429	11291	14967
430	11318	14941
431	11345	14916
432	11372	14891
433	11397	14863
434	11423	14837
435	11448	14809
436	11475	14783
437	11498	14754
438	11523	14726
439	11547	14696
440	11572	14668
441	11597	14640
442	11623	14614
443	11646	14584
444	11669	14553
445	11693	14524
446	11718	14496
447	11743	14469
448	11768	14442
449	11794	14415
450	11816	14384
451	11840	14355
452	11862	14324
453	11886	14295
454	11910	14266
455	11935	14238
456	11958	14209
457	11982	14180
458	12006	14151
459	12029	14121
460	12052	14091
461	12075	14061
462	12097	14031
463	12120	14001
464	12143	13971
465	12166	13941
466	12188	13911
467	12211	13881
468	12234	13851
469	12256	13821
470	12279	13791
471	12301	13761
472	12325	13732
473	12347	13702
474	12370	13672
475	12392	13642
476	12415	13613
477	12438	13583
478	12461	13554
479	12484	13525
480	12508	13496
481	12530	13466
482	12553	13437
483	12575	13407
484	12598	13377
485	12620	13347
486	12643	13318
487	12666	13289
488	12688	13259
489	12710	13229
490	12734	13200
491	12756	13171
492	12779	13142
493	12802	13113
494	12825	13084
495	12849	13057
496	12872	13028
497	12895	12999
498	12920	12972
499	12945	12945
500	12969	12917
501	12991	12888
502	13014	12859
503	13038	12831
504	13059	12801
505	13082	12771
506	13104	12742
507	13127	12714
508	13150	12685
509	13171	12654
510	13194	12626
511	13216	12597
512	13239	12568
513	13263	12541
514	13287	12513
515	13311	12486
516	13336	12459
517	13361	12433
518	13387	12407
519	13411	12379
520	13436	12353
521	13461	12327
522	13487	12301
523	13512	12274
524	13536	12247
525	13560	12220
526	13584	12192
527	13613	12169
528	13640	12144
529	13671	12123
530	13702	12102
531	13736	12084
532	13762	12058
533	13789	12033
534	13815	12007
535	13839	11980
536	13862	11952
537	13887	11925
538	13911	11898
539	13936	11871
540	13962	11846
541	13988	11820
542	14016	11796
543	14042	11770
544	14067	11744
545	14092	11717
546	14116	11690
547	14141	11663
548	14166	11637
549	14191	11611
550	14216	11584
551	14242	11559
552	14269	11534
553	14300	11512
554	14331	11491
555	14360	11467
556	14391	11446
557	14421	11423
558	14453	11402
559	14484	11380
560	14512	11356
561	14537	11330
562	14563	11304
563	14593	11281
564	14621	11257
565	14647	11231
566	14671	11204
567	14695	11177
568	14720	11150
569	14744	11122
570	14769	11096
571	14796	11071
572	14820	11044
573	14845	11017
574	14875	10994
575	14907	10973
576	14944	10955
577	14983	10939
578	15019	10921
579	15057	10903
580	15091	10883
581	15126	10863
582	15158	10842
583	15187	10818
584	15217	10795
585	15248	10772
586	15282	10752
587	15317	10732
588	15353	10713
589	15390	10695
590	15423	10673
591	15453	10650
592	15482	10626
593	15508	10600
594	15538	10576
595	15567	10552
596	15597	10528
597	15625	10504
598	15652	10478
599	15680	10453
600	15708	10428
601	15735	10403
602	15765	10379
603	15795	10355
604	15821	10329
605	15849	10304
606	15878	10280
607	15903	10253
608	15927	10226
609	15957	10202
610	15982	10175
611	16010	10150
612	16038	10125
613	16069	10102
614	16101	10080
615	16136	10059
616	16172	10038
617	16205	10017
618	16235	9993
619	16263	9967
620	16290	9941
621	16316	9915
622	16343	9890
623	16369	9863
624	16397	9838
625	16424	9812
626	16449	9785
627	16475	9759
628	16501	9732
629	16526	9705
630	16554	9681
631	16585	9657
632	16614	9632
633	16643	9607
634	16672	9583
635	16703	9559
